height,weight,label
163,71,fat
175,55,tine
165,64,nomale
164,59,nomale
151,43,nomale
159,39,tine
146,71,fat
149,57,fat
127,43,fat
143,49,nomale
153,45,nomale
162,72,fat
134,61,fat
147,38,tine
142,63,fat
189,65,tine
122,53,fat
169,47,tine
180,63,nomale
150,63,fat
135,40,nomale
183,52,tine
141,36,tine
137,57,fat
154,73,fat
140,74,fat
169,47,tine
182,51,tine
121,47,fat
187,74,nomale
182,40,tine
187,67,nomale
162,40,tine
136,73,fat
187,38,tine
151,70,fat
151,42,tine
176,53,tine
122,37,nomale
162,64,nomale
146,72,fat
181,75,nomale
139,66,fat
169,69,nomale
199,52,tine
130,76,fat
194,41,tine
131,76,fat
162,72,fat
157,38,tine
158,73,fat
155,35,tine
121,70,fat
181,71,nomale
124,37,nomale
167,60,nomale
136,60,fat
129,73,fat
145,67,fat
193,37,tine
131,79,fat
135,36,nomale
194,46,tine
190,47,tine
135,48,fat
133,78,fat
189,50,tine
182,44,tine
170,80,fat
161,64,nomale
168,78,fat
183,42,tine
190,56,tine
140,71,fat
187,61,tine
151,68,fat
172,80,fat
171,60,nomale
174,68,nomale
189,35,tine
154,47,nomale
183,60,tine
177,59,nomale
142,51,fat
126,53,fat
141,39,nomale
176,36,tine
159,38,tine
138,50,fat
128,75,fat
161,54,nomale
139,61,fat
196,64,tine
197,76,nomale
196,49,tine
142,60,fat
174,57,nomale
126,79,fat
179,80,nomale
176,47,tine
195,74,nomale
153,73,fat
180,71,nomale
133,51,fat
126,69,fat
124,38,nomale
138,66,fat
161,36,tine
159,45,tine
120,47,fat
198,40,tine
142,77,fat
186,45,tine
187,57,tine
192,54,tine
198,73,nomale
180,48,tine
150,70,fat
149,66,fat
176,49,tine
177,73,nomale
176,62,nomale
170,61,nomale
170,56,nomale
176,73,nomale
176,71,nomale
148,49,nomale
165,48,tine
135,79,fat
129,74,fat
137,60,fat
120,69,fat
143,73,fat
174,45,tine
141,47,nomale
181,75,nomale
172,66,nomale
171,43,tine
139,50,fat
154,35,tine
178,65,nomale
177,48,tine
150,70,fat
185,78,nomale
134,56,fat
156,69,fat
191,45,tine
150,46,nomale
120,70,fat
180,53,tine
198,74,nomale
188,36,tine
197,56,tine
155,56,nomale
196,64,tine
149,50,nomale
165,73,fat
175,73,nomale
166,68,nomale
162,71,fat
152,36,tine
123,43,fat
145,47,nomale
140,50,fat
152,56,nomale
180,74,nomale
144,40,nomale
140,63,fat
180,62,nomale
127,50,fat
188,65,tine
184,46,tine
135,64,fat
128,45,fat
179,57,tine
139,71,fat
140,77,fat
145,78,fat
189,58,tine
173,74,nomale
186,67,nomale
132,54,fat
162,73,fat
175,54,tine
161,49,nomale
151,44,nomale
186,42,tine
151,71,fat
169,69,nomale
138,71,fat
150,77,fat
166,45,tine
175,70,nomale
176,60,nomale
152,38,tine
145,71,fat
123,59,fat
192,64,tine
139,52,fat
131,45,fat
139,50,fat
159,57,nomale
176,54,tine
183,73,nomale
200,66,tine
174,37,tine
134,67,fat
162,62,nomale
154,49,nomale
159,70,fat
132,54,fat
156,71,fat
181,48,tine
181,35,tine
165,40,tine
127,35,nomale
160,62,nomale
175,74,nomale
149,78,fat
173,36,tine
144,54,fat
197,49,tine
162,63,nomale
129,59,fat
154,56,nomale
156,49,nomale
145,77,fat
169,78,fat
144,78,fat
156,43,tine
167,44,tine
158,53,nomale
163,55,nomale
130,63,fat
120,74,fat
176,42,tine
199,59,tine
159,80,fat
146,61,fat
184,35,tine
168,50,tine
180,57,tine
164,79,fat
164,69,fat
129,37,nomale
175,74,nomale
186,60,tine
134,43,nomale
191,63,tine
136,57,fat
125,57,fat
181,37,tine
150,68,fat
122,63,fat
130,52,fat
180,42,tine
162,66,fat
188,76,nomale
170,60,nomale
199,47,tine
151,69,fat
140,47,nomale
166,79,fat
165,42,tine
120,51,fat
167,44,tine
160,47,tine
186,47,tine
178,39,tine
185,41,tine
188,77,nomale
132,79,fat
153,78,fat
162,71,fat
134,69,fat
120,59,fat
138,47,nomale
139,43,nomale
163,56,nomale
179,36,tine
154,74,fat
160,68,fat
133,59,fat
123,57,fat
154,78,fat
185,51,tine
142,77,fat
132,39,nomale
151,57,nomale
149,41,tine
166,60,nomale
197,47,tine
186,69,nomale
128,75,fat
184,55,tine
198,35,tine
200,74,nomale
172,77,fat
185,57,tine
166,60,nomale
174,36,tine
174,68,nomale
157,74,fat
199,48,tine
140,48,nomale
168,50,tine
130,73,fat
152,68,fat
183,46,tine
157,60,nomale
181,41,tine
164,37,tine
177,57,tine
181,65,nomale
182,72,nomale
185,45,tine
178,68,nomale
151,52,nomale
167,42,tine
159,62,nomale
161,73,fat
188,75,nomale
133,45,fat
144,68,fat
195,54,tine
192,51,tine
145,55,fat
129,66,fat
139,75,fat
145,77,fat
156,73,fat
126,74,fat
181,66,nomale
120,57,fat
163,49,tine
185,37,tine
164,56,nomale
164,66,nomale
156,73,fat
132,39,nomale
161,61,nomale
168,59,nomale
156,47,nomale
200,69,tine
126,50,fat
183,70,nomale
160,58,nomale
193,66,tine
199,37,tine
157,54,nomale
125,40,fat
184,63,nomale
164,68,fat
178,59,nomale
179,37,tine
175,58,nomale
150,56,nomale
134,37,nomale
177,60,nomale
185,39,tine
144,59,fat
152,71,fat
140,65,fat
154,68,fat
198,75,nomale
176,60,nomale
155,48,nomale
191,79,nomale
126,69,fat
149,35,tine
130,65,fat
131,57,fat
186,57,tine
200,57,tine
186,52,tine
183,65,nomale
132,35,nomale
180,65,nomale
163,72,fat
145,67,fat
171,78,fat
194,54,tine
188,70,nomale
192,48,tine
177,63,nomale
136,63,fat
121,73,fat
163,42,tine
148,37,tine
143,66,fat
159,48,nomale
150,76,fat
128,77,fat
155,77,fat
184,51,tine
192,66,tine
192,63,tine
168,67,nomale
156,41,tine
187,64,tine
164,68,fat
120,49,fat
120,48,fat
184,69,nomale
174,67,nomale
161,60,nomale
153,41,tine
196,75,nomale
199,54,tine
142,63,fat
147,47,nomale
196,62,tine
183,48,tine
179,42,tine
142,61,fat
185,57,tine
163,59,nomale
128,36,nomale
195,39,tine
137,36,nomale
146,74,fat
198,64,tine
154,73,fat
177,46,tine
166,72,fat
192,65,tine
164,37,tine
195,38,tine
122,71,fat
149,47,nomale
124,38,nomale
174,54,tine
160,49,nomale
171,66,nomale
174,50,tine
176,41,tine
121,35,nomale
140,47,nomale
163,80,fat
134,58,fat
167,39,tine
168,80,fat
128,46,fat
141,45,nomale
177,44,tine
148,41,nomale
157,76,fat
196,35,tine
177,76,nomale
136,57,fat
199,57,tine
181,57,tine
151,76,fat
195,66,tine
172,60,nomale
131,41,nomale
132,55,fat
163,46,tine
125,71,fat
196,77,nomale
134,41,nomale
178,72,nomale
194,38,tine
149,52,nomale
167,52,nomale
162,78,fat
136,50,fat
164,57,nomale
192,65,tine
131,37,nomale
151,59,fat
131,47,fat
148,38,tine
147,79,fat
144,41,nomale
192,77,nomale
164,49,tine
198,71,tine
124,70,fat
197,64,tine
185,70,nomale
175,69,nomale
191,77,nomale
126,70,fat
177,38,tine
157,46,nomale
197,42,tine
189,50,tine
184,70,nomale
150,76,fat
159,44,tine
140,49,fat
135,70,fat
145,64,fat
188,66,nomale
172,40,tine
190,38,tine
168,61,nomale
167,57,nomale
150,60,fat
134,71,fat
175,36,tine
173,71,nomale
188,39,tine
178,77,nomale
179,36,tine
178,72,nomale
156,38,tine
159,45,tine
135,46,fat
193,61,tine
140,54,fat
129,63,fat
137,52,fat
139,71,fat
171,69,nomale
188,80,nomale
136,40,nomale
140,71,fat
129,61,fat
124,51,fat
153,44,nomale
199,37,tine
127,47,fat
140,75,fat
121,58,fat
153,51,nomale
140,70,fat
151,80,fat
172,76,fat
160,48,nomale
146,56,fat
154,65,fat
200,67,tine
137,68,fat
152,75,fat
191,50,tine
149,73,fat
127,40,nomale
136,62,fat
145,52,nomale
143,71,fat
143,67,fat
129,79,fat
168,68,nomale
180,78,nomale
180,48,tine
178,47,tine
132,69,fat
133,38,nomale
182,57,tine
145,61,fat
139,63,fat
129,48,fat
163,52,nomale
178,43,tine
187,43,tine
158,49,nomale
186,71,nomale
132,51,fat
124,66,fat
127,67,fat
200,36,tine
161,61,nomale
194,47,tine
142,66,fat
139,61,fat
120,65,fat
161,46,tine
180,69,nomale
147,78,fat
134,68,fat
143,79,fat
185,45,tine
121,79,fat
163,69,fat
172,47,tine
165,43,tine
158,48,nomale
160,47,tine
133,47,fat
123,70,fat
153,38,tine
182,51,tine
175,64,nomale
193,48,tine
183,68,nomale
123,35,nomale
157,35,tine
144,39,nomale
200,47,tine
192,55,tine
122,68,fat
184,73,nomale
182,57,tine
191,77,nomale
171,42,tine
191,65,tine
159,74,fat
177,53,tine
121,45,fat
192,77,nomale
152,80,fat
143,65,fat
197,67,tine
181,40,tine
151,76,fat
196,46,tine
194,56,tine
133,64,fat
179,36,tine
149,53,nomale
191,57,tine
166,68,nomale
167,68,nomale
186,60,tine
